@relation final_electricity_dataset-weka.filters.unsupervised.attribute.Remove-R22

@attribute fan numeric
@attribute refrigerator numeric
@attribute airconditioner numeric
@attribute television numeric
@attribute monitor numeric
@attribute monthlyhours numeric
@attribute tariffrate numeric
@attribute forecastwindproduction numeric
@attribute systemloadea numeric
@attribute smpea numeric
@attribute co2intensity numeric
@attribute actualwindproduction numeric
@attribute num_rooms numeric
@attribute num_people numeric
@attribute housearea numeric
@attribute is_ac numeric
@attribute is_tv numeric
@attribute is_flat numeric
@attribute ave_monthly_income numeric
@attribute num_children numeric
@attribute is_urban numeric
@attribute units numeric

@data
10.8,22.95,2.88,8.24,11.96,647.8,8.88,459.65,4301.21,56.11,462.09,426.15,1.97,5.15,821.43,0,0.96,0,23767.59,0.97,1.02,7509.78
13.57,22.19,2.09,13.15,1,536.74,8.12,756.88,3749.43,66.93,482.1,797.48,1.9,4.99,815.04,0,1.05,0,25740.93,1.03,1.02,4686.82
20.33,21.04,1.03,3.85,1.04,319.81,8.68,454.28,3968.37,53.54,494.71,448.21,1.9,5.11,759.68,0,0.96,0,25642,1.01,0.97,2018.96
5.78,20.84,0,10.5,1.02,483.68,7.45,453.88,4273.21,53.92,483.31,466.92,1.93,5.08,821.44,0,1.05,0,25258.93,0.95,1.01,2328.27
4.92,20.75,1,5.91,7.15,462.49,8.28,462.98,3986.52,57.97,497.15,431.06,2.07,5.09,770.95,0,0.98,0,23516.87,0.99,1.05,3142.85
16.36,22.98,2.03,8.19,0.96,558.92,8.3,444.67,4177.59,53.67,488.01,447.45,1.98,5.09,827.75,0,1.02,0,24568.42,1.02,0.98,4668.18
19.34,22.13,0,14.16,0.99,653.28,8.18,440.82,4285.23,56.85,467.13,423.64,2.07,5.17,754.95,0,1.05,0,25551.01,0.96,1.01,4509.07
13.52,21.57,2.07,12.98,0.99,535.08,8.8,421.49,3986.1,54.58,484.62,431.79,4,3.13,523.99,1.01,1.02,0.95,23160,1.99,0,4627.54
14.47,21.62,1.91,12.44,1,501.55,8.2,1151.79,5156.53,52.33,431.12,1420.53,2.07,5.09,757.89,0,0.97,0,24341.97,0.97,0.97,4573.25
13.9,21.96,2.06,12.86,1.01,500.72,8.66,843.92,3927.5,62.97,294.71,721.52,2.09,4.76,818.47,0,0.98,0,25447.42,1.04,0.97,4597.35
14.02,22.02,1.99,12.94,0.97,514.49,8.44,228.43,3092.2,50.5,478.74,347.79,2.03,4.79,777.3,0,1,0,24625.95,1.02,0.99,4854.03
14.5,22.13,1.92,13.63,1,494.37,8.37,525.39,6179.97,174.02,547.07,417.86,2.04,5,796.19,0,0.95,0,24973.81,1.01,1.02,4332.49
14.13,21.45,2.86,14.79,1.03,554.76,7.95,437.54,4080.28,55,476.4,427.41,2,4.9,786.61,0,1.04,0,24160.75,0.96,0.99,6224
14.21,22.07,1.94,13.02,0.98,514.64,8.2,1271.93,4081.34,56.02,341.49,1215.66,2,4.9,764.18,0,0.96,0,25378.02,0.97,1.01,4597.11
14.42,22.34,2.02,19.24,1,468.82,8.97,461.42,4050.45,52.78,489.01,450.97,2.01,5.13,824.6,0,1.04,0,24676.68,1.05,0.98,4499.47
14.34,22.74,1.92,12.73,0.97,524.85,8.29,868.52,4971.11,67.53,498.56,805.06,2.06,4.78,822.21,0,0.99,0,25584.19,1.04,1,4828.17
21.8,22.5,0,7.19,1,382.38,9.05,425.26,3967.26,52.84,477.69,464.59,2.05,5.04,762.54,0,1.02,0,24010.2,1.03,0.97,2272.99
23.08,23.98,2.91,16.95,11.49,621.24,8.27,463.18,3964.41,57.14,500.83,439.86,1.94,4.99,779.97,0,1.01,0,24235.33,0.97,1,8025.89
13.58,21.9,2.01,12.86,1,494.71,8.38,718.43,4434.54,52.7,389.3,515.79,1.94,4.87,752.61,0,0.95,0,23779.98,1.04,1.01,4428.15
13.43,21.34,2.02,12.9,0.99,503.43,8.23,67.07,4283.1,67.33,583.01,13.58,1.93,5.12,750.56,0,1.01,0,23853.64,1,0.98,4682.56
13.82,21.55,2.06,12.39,1.04,528.34,8.02,340.06,4373.29,52.16,425.76,467.99,1.98,5.19,787.07,0,0.98,0,25317.73,1.02,0.99,4901.59
6.76,19.93,0,6.78,0.98,426.48,8.62,442.53,4248.76,57.97,489.94,463.02,1.99,5.21,818.86,0,0.99,0,25203.45,1.01,0.99,1881.28
13.76,21.44,1.95,13.12,1,520.57,8.6,271.37,4664.58,88.88,431.62,252.49,2.05,5.06,808.83,0,0.98,0,25571.45,1.01,1.02,4933.93
22.22,21.6,1,4.08,1.01,526,9.45,446.63,4264.33,56.43,481.65,441.37,2.06,4.96,760.58,0,1.01,0,24438.52,0.97,1.02,3541.38
15.29,21.76,2.01,7.83,1.02,467.05,7.22,421.33,4236.69,56.4,504.18,426.48,1.97,5.19,758.78,0,0.98,0,24622.08,1.02,0.99,3724.59
7.13,19.01,1.99,7.14,1.05,419.42,8.48,431.86,4042.69,55.32,468.73,451.31,2,5.05,765.52,0,1.05,0,23746.91,0.98,0.99,2989.25
13.48,21.3,1.91,12.9,1.04,506.61,8.17,251.46,3171.59,50.64,521.98,270.33,2.06,4.8,808.27,0,1.02,0,24420.64,0.97,1.04,4331.82
13.52,20.97,1.99,13.41,0.96,493.73,8.59,951.61,5325.94,69.23,461.8,818.58,2.05,4.84,813.01,0,1.05,0,25211.96,0.99,0.99,4250.05
19.89,22.97,0,14.72,1.03,675.97,9.47,427.71,4270.91,55.18,458.64,452.13,2.04,5.16,788.58,0,0.98,0,25532.76,0.97,1.01,4882.65
12.2,23.55,3.14,8.04,12.39,644.94,8.97,443.7,4302.99,54.38,462.75,430.83,1.97,4.98,806.83,0,0.96,0,25467.54,1.03,0.99,7000.25
