@relation 'final_electricity_dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-V-R1,23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute connected_load_kw numeric
@attribute units numeric

@data
0.518967,7509.78
0.432947,4686.82
0.349065,2018.96
0.186109,2328.27
0.214426,3142.85
0.406589,4668.18
0.515227,4509.07
0.417453,4627.54
0.422974,4573.25
0.429207,4597.35
0.431879,4854.03
0.453963,4332.49
0.473197,6224
0.436866,4597.11
0.55797,4499.47
0.445414,4828.17
0.441674,2272.99
0.903295,8025.89
0.421371,4428.15
0.409439,4682.56
0.412645,4901.59
0.120392,1881.28
0.419947,4933.93
0.395726,3541.38
0.360107,3724.59
0.153695,2989.25
0.408549,4331.82
0.412467,4250.05
0.550668,4882.65
0.563313,7000.25
0.891006,8502.05
0.443455,4977.99
0.498842,3055.99
0.407836,4644.79
0.413357,4638.47
0.443811,4697.72
0.407836,4413.95
0.436509,4701.32
0.404274,2266.67
0.296527,3776.05
0.327337,4964.97
0.454853,4538.12
0.41585,4546.77
0.321282,3451.78
0.180766,3662.41
0.276224,3346.79
0.468566,4756.1
0.376492,2364.38
0.507925,4718.23
0.144791,1284.95
0.35423,2678.65
0.420125,4609.47
0.432235,4772.83
0.431345,4682.7
0.380766,3783
0.432413,5237.09
0.031701,717.03
0.442208,4839.7
0.427783,4677.8
0.29724,1901
0.43366,4612.82
0.302226,6219.19
0.767587,4000.39
0.424043,4455.52
0.408014,4171.88
0.58415,5338.18
0.458771,4605.96
0.406233,4237.38
0.322707,3602.81
0.438468,4664.41
0.329831,4313.4
0.625111,4378.74
0.254319,3181.37
0.429207,4880.02
0.451825,4642.94
0.527694,5170.75
0.418522,4932.85
0.461621,4621.65
0.398931,5336.74
0.281033,3062.3
0.444346,3036.24
0.318077,3828.68
0.423152,4537.5
0.28602,4690.28
0.437578,4518.18
0.423865,4761.98
0.415138,4746.69
0.366696,5068.73
0.117898,1066.05
0.443989,4798.55
0.566518,3850.78
0.834194,8377.38
0.387533,4882.37
0.726269,6086.28
0.904363,6883.61
0.653428,7493.65
0.443455,4580.95
0.433304,4821.74
0.53268,5720.78
0.493321,3644.26
0.412645,4763.31
0.8935,10277.91
0.437934,4723.84
0.367053,3040.79
0.430276,3685.38
0.324132,3507.63
0.42707,4711.57
0.42244,4089.91
0.423508,4315.67
0.429386,5210.9
0.425646,4768.87
0.643633,7072.11
0.364737,3411.34
0.413535,4587.29
0.398219,4310.32
0.420659,4446.4
0.401959,3056.58
0.468566,3772.87
0.65236,5791.75
0.467498,2914.76
0.246839,4227.97
0.426714,5410.18
0.669279,4684.93
0.903829,8451.45
0.425289,4751.19
0.621193,3168.37
0.514693,3755.95
0.758682,8273.81
0.450935,6019.67
0.612645,4272.15
0.4374,4756.65
0.482102,7091.88
0.138201,3661.59
0.429207,4323.72
0.476224,4260.86
0.413535,4666.24
0.307391,3602.82
0.356545,4691.04
0.431879,4432
0.448085,4731.12
0.364025,1858.39
0.456812,5043.35
0.182903,4381.08
0.715227,5777.87
0.723776,7157.14
0.43366,4379.72
0.471772,4604.43
0.417097,5042.13
0.622974,4069.13
0.388246,5621.62
0.562956,7673.66
0.449154,4810.81
0.43366,4969.23
